,hotal_name,vip_message,hotel_amenities,property_details_highlight,deal,price_promotion,hotel_status,price_actual,unit,review_score_total,review_score,count_reviwer,review_score_meaning,status_available,status_available_text,hotel_latitude,hotel_longitude,neighborhood
0,Crest Resort & Pool Villas,,['Pool'],[],DEAL_GENERIC,"2,773",STANDALONE,"7,414",per night,5,4,232,Very good,TRUE,,7.882227,98.276855,
1,Phuket Airport Hotel,,['Pool'],[],DEAL_GENERIC,"1,955",STANDALONE,"2,443",per night,5,4.5,684,Wonderful,TRUE,,8.101034,98.306597,
2,The Kee Resort & Spa,,['Pool'],[],DEAL_MEMBER,"2,780",STANDALONE,"4,634",per night,5,4.2,998,Very good,TRUE,,7.89496,98.297107,
3,David Residence,,[],[],DEAL_GENERIC,720,STANDALONE,,per night,5,4.2,221,Very good,TRUE,,8.106937,98.308643,
4,Grand Mercure Phuket Patong,,['Pool'],[],,"3,902",STANDALONE,,per night,5,4.4,1000,Excellent,TRUE,,7.888088,98.296374,
5,Centro One Bangla,,"['Breakfast included', 'Pool']",[],DEAL_MEMBER,"1,474",STANDALONE,"2,106",per night,5,0,0,,TRUE,,7.892863,98.298729,
6,Santhiya Koh Yao Yai Resort & Spa,,"['Breakfast included', 'Pool']",[],DEAL_MEMBER,"3,738",STANDALONE,"4,154",per night,5,4.4,999,Excellent,TRUE,,7.982701,98.569182,
7,Phuket Graceland Resort And Spa,,"['Pool', 'Hot tub']",[],DEAL_MEMBER,"3,791",STANDALONE,"6,318",per night,5,3.9,997,Good,TRUE,,7.90306,98.297316,
8,The Pavilions Phuket,VIP Access,['Pool'],[],DEAL_MEMBER,"6,440",STANDALONE,"8,051",per night,5,4.6,287,Wonderful,TRUE,,8.022854,98.301608,
9,Burasari Phuket Resort & Spa,,['Pool'],[],DEAL_GENERIC,"2,783",STANDALONE,"6,287",per night,5,4.4,990,Excellent,TRUE,,7.887941,98.293022,
10,Wyndham Grand Phuket Kalim Bay,,['Pool'],[],,"4,212",STANDALONE,,per night,5,4.4,1000,Excellent,TRUE,,7.923041,98.279191,
11,Dewa Phuket Resort & Villas,,"['Pool', 'Hot tub']",[],DEAL_MEMBER,"2,561",STANDALONE,"3,201",per night,5,4.3,773,Excellent,TRUE,,8.092553,98.299677,
12,"Splash Beach Resort, Mai Khao, Phuket",,['Pool'],[],DEAL_MEMBER,"2,530",STANDALONE,"4,600",per night,5,4.3,474,Excellent,TRUE,,8.117976,98.306651,
13,Diamond Cliff Resort and Spa,,['Pool'],[],DEAL_MEMBER,"4,634",STANDALONE,"8,425",per night,5,4.4,999,Excellent,TRUE,,7.908722,98.296976,
14,Himaphan Boutique Resort,,['Pool'],[],DEAL_MEMBER,"1,769",STANDALONE,,per night,5,4.3,70,Excellent,TRUE,,8.101718,98.303573,
15,Mandarava Resort and Spa Karon Beach,,['Pool'],[],DEAL_GENERIC,"4,494",STANDALONE,,per night,5,4.6,1000,Wonderful,TRUE,,7.855725,98.295273,
16,Naiyang Park Resort,,['Pool'],[],DEAL_MEMBER,"2,199",STANDALONE,"3,791",per night,5,4.4,226,Excellent,TRUE,,8.093406,98.299445,
17,Maya Phuket Airport Hotel,,['Pool'],[],DEAL_GENERIC,"1,104",STANDALONE,"2,410",per night,5,4,264,Very good,TRUE,,8.101397,98.304693,
18,Perennial Resort,,['Pool'],[],DEAL_GENERIC,"1,137",STANDALONE,,per night,5,4.5,422,Wonderful,TRUE,,8.101889,98.303246,
19,"Phuket Marriott Resort and Spa, Nai Yang Beach",,['Pool'],[],DEAL_GENERIC,"6,060",STANDALONE,,per night,5,4.6,581,Wonderful,TRUE,,8.080965,98.288366,
20,Areca Resort & Spa,,['Pool'],[],DEAL_GENERIC,997,STANDALONE,"1,109",per night,5,4,14,Very good,TRUE,,7.899394,98.350844,
21,L'esprit de Naiyang Beach Resort,,['Pool'],[],DEAL_MEMBER,"1,872",STANDALONE,"4,160",per night,5,4.1,417,Very good,TRUE,,8.08336,98.293483,
22,Avista Hideaway Phuket Patong - MGallery,,['Pool'],[],DEAL_MEMBER,"5,738",STANDALONE,"6,375",per night,5,4.4,997,Excellent,TRUE,,7.881091,98.278154,
23,Sawasdee Village,VIP Access,['Pool'],[],DEAL_MEMBER,"3,258",STANDALONE,"5,476",per night,5,4.5,836,Wonderful,TRUE,,7.821427,98.300994,
24,The Village Coconut Island,,['Pool'],[],DEAL_MEMBER,"4,044",STANDALONE,"6,740",per night,5,3.9,375,Good,TRUE,,7.940794,98.423261,
25,The Oceanic Sportel,,[],[],DEAL_GENERIC,"1,295",STANDALONE,"3,454",per night,5,0,0,,TRUE,,7.947671,98.392689,
26,Katathani Phuket Beach Resort,VIP Access,"['Breakfast included', 'Pool', 'Hot tub']",[],DEAL_GENERIC,"6,811",STANDALONE,"9,730",per night,5,4.5,999,Wonderful,TRUE,,7.807329,98.299739,
27,The Racha,VIP Access,"['Breakfast included', 'Pool', 'Hot tub']",[],DEAL_MEMBER,"8,720",STANDALONE,"10,900",per night,5,4.6,372,Wonderful,TRUE,,7.607448,98.368133,
28,Maikhao Palm Beach Resort,,['Pool'],[],DEAL_GENERIC,"2,578",STANDALONE,"7,582",per night,5,4.1,71,Very good,TRUE,,8.128779,98.300838,
29,Thavorn Beach Village Resort & Spa Phuket,,['Pool'],[],DEAL_MEMBER,"4,893",STANDALONE,"9,785",per night,5,4.1,969,Very good,TRUE,,7.92516,98.274169,
30,"Hilton Garden Inn Phuket, Thailand",,['Pool'],[],,"2,720",STANDALONE,,per night,5,4.9,27,Exceptional,TRUE,,7.996511,98.299761,
31,Amari Phuket,VIP Access,['Pool'],[],DEAL_GENERIC,"7,500",STANDALONE,"10,000",per night,5,4.6,1000,Wonderful,TRUE,,7.886429,98.285617,
